,Subtype,Age,2001_PAF_CI,2001_Nobs,2001_Nexc,2001_Nexc_CI,2010_PAF_CI,2010_Nobs,2010_Nexc,2010_Nexc_CI,2020_PAF_CI,2020_Nobs,2020_Nexc,2020_Nexc_CI
1,Overall,25–34,"15 (14, 16)",15,2,"(2, 2)","20 (19, 21)",20,4,"(4, 4)","24 (23, 25)",43,10,"(10, 11)"
2,Overall,35–44,"19 (18, 21)",68,13,"(12, 14)","24 (23, 26)",109,26,"(25, 28)","30 (29, 31)",156,47,"(45, 48)"
3,Overall,45–54,"24 (22, 25)",273,66,"(60, 68)","27 (26, 28)",364,98,"(95, 102)","35 (34, 36)",450,158,"(153, 162)"
4,Overall,55–64,"27 (26, 29)",456,123,"(119, 132)","30 (29, 32)",770,231,"(223, 246)","37 (36, 38)",860,318,"(310, 327)"
5,Overall,65–74,"27 (25, 28)",367,99,"(92, 103)","31 (30, 33)",588,182,"(176, 194)","37 (36, 38)",923,342,"(332, 351)"
6,Overall,75–84,"22 (21, 24)",289,64,"(61, 69)","27 (26, 29)",372,100,"(97, 108)","36 (35, 38)",462,166,"(162, 176)"
7,Overall,85+,"19 (18, 21)",75,14,"(14, 16)","23 (22, 25)",122,28,"(27, 30)","33 (32, 35)",142,47,"(45, 50)"
8,Overall,Total,"25 (23, 26)",1543,381,"(360, 404)","29 (28, 30)",2345,669,"(647, 712)","36 (35, 37)",3036,1088,"(1057, 1125)"
9,Endometrioid,25–34,"22 (21, 23)",7,2,"(1, 2)","29 (27, 30)",12,3,"(3, 4)","35 (34, 36)",32,11,"(11, 12)"
10,Endometrioid,35–44,"28 (27, 29)",48,13,"(13, 14)","34 (33, 36)",81,28,"(27, 29)","42 (42, 43)",131,55,"(55, 56)"
11,Endometrioid,45–54,"33 (32, 34)",216,71,"(69, 73)","38 (37, 39)",310,118,"(115, 121)","48 (48, 49)",375,180,"(180, 184)"
12,Endometrioid,55–64,"38 (36, 39)",379,144,"(136, 148)","42 (41, 43)",657,276,"(269, 283)","50 (49, 51)",723,362,"(354, 369)"
13,Endometrioid,65–74,"37 (36, 38)",292,108,"(105, 111)","43 (42, 44)",479,206,"(201, 211)","51 (50, 52)",690,352,"(345, 359)"
14,Endometrioid,75–84,"31 (30, 33)",209,65,"(63, 69)","38 (36, 39)",284,108,"(102, 111)","49 (48, 50)",306,150,"(147, 153)"
15,Endometrioid,85+,"27 (25, 28)",50,14,"(12, 14)","32 (31, 34)",74,24,"(23, 25)","45 (44, 46)",73,33,"(32, 34)"
16,Endometrioid,Total,"35 (33, 36)",1201,417,"(399, 431)","40 (39, 41)",1897,763,"(740, 784)","49 (48, 50)",2330,1143,"(1124, 1167)"
17,Serous,25–34,"8 (4, 11)",0,0,"(0, 0)","11 (7, 15)",0,0,"(0, 0)","15 (11, 19)",0,0,"(0, 0)"
18,Serous,35–44,"11 (7, 15)",2,0,"(0, 0)","14 (9, 19)",0,0,"(0, 0)","19 (15, 23)",1,0,"(0, 0)"
19,Serous,45–54,"13 (8, 18)",11,1,"(1, 2)","16 (11, 21)",9,1,"(1, 2)","24 (20, 28)",8,2,"(2, 2)"
20,Serous,55–64,"16 (10, 21)",23,4,"(2, 5)","19 (13, 24)",40,8,"(5, 10)","25 (21, 29)",60,15,"(13, 17)"
21,Serous,65–74,"15 (10, 21)",23,3,"(2, 5)","19 (14, 25)",51,10,"(7, 13)","25 (20, 30)",106,26,"(21, 32)"
22,Serous,75–84,"12 (7, 17)",24,3,"(2, 4)","16 (10, 21)",30,5,"(3, 6)","23 (18, 29)",67,15,"(12, 19)"
23,Serous,85+,"10 (4, 15)",3,0,"(0, 0)","13 (7, 18)",5,1,"(0, 1)","20 (14, 26)",24,5,"(3, 6)"
24,Serous,Total,"13 (8, 19)",86,11,"(7, 16)","19 (12, 24)",135,25,"(16, 32)","24 (19, 29)",266,63,"(51, 76)"
25,Clear cell,25–34,"14 (9, 19)",0,0,"(0, 0)","19 (12, 25)",1,0,"(0, 0)","25 (19, 30)",1,0,"(0, 0)"
26,Clear cell,35–44,"19 (12, 25)",0,0,"(0, 0)","24 (17, 30)",0,0,"(0, 0)","31 (25, 36)",0,0,"(0, 0)"
27,Clear cell,45–54,"23 (15, 29)",2,0,"(0, 1)","27 (20, 33)",2,1,"(0, 1)","36 (31, 41)",7,3,"(2, 3)"
28,Clear cell,55–64,"26 (18, 34)",9,2,"(2, 3)","30 (23, 37)",8,2,"(2, 3)","38 (32, 43)",9,3,"(3, 4)"
29,Clear cell,65–74,"26 (18, 33)",10,3,"(2, 3)","31 (23, 38)",8,2,"(2, 3)","38 (32, 44)",24,9,"(8, 11)"
30,Clear cell,75–84,"21 (13, 29)",6,1,"(1, 2)","26 (18, 34)",5,1,"(1, 2)","36 (29, 43)",16,6,"(5, 7)"
31,Clear cell,85+,"17 (9, 25)",1,0,"(0, 0)","22 (13, 30)",4,1,"(1, 1)","33 (24, 40)",6,2,"(1, 2)"
32,Clear cell,Total,"21 (18, 32)",28,6,"(5, 9)","25 (21, 36)",28,7,"(6, 10)","37 (30, 43)",63,23,"(19, 27)"
