"","Subtype","Age","2001_PAF_CI","2001_Nobs","2001_Nexc","2001_Nexc_CI","2010_PAF_CI","2010_Nobs","2010_Nexc","2010_Nexc_CI","2020_PAF_CI","2020_Nobs","2020_Nexc","2020_Nexc_CI"
"1","Overall","25–34","10 (9, 10)",15,2,"(1, 2)","15 (14, 15)",20,3,"(3, 3)","24 (23, 25)",43,10,"(10, 11)"
"2","Overall","35–44","14 (13, 15)",68,10,"(9, 10)","22 (21, 23)",109,24,"(23, 25)","27 (26, 28)",156,42,"(41, 44)"
"3","Overall","45–54","18 (17, 19)",273,49,"(46, 52)","24 (23, 25)",364,87,"(84, 91)","33 (32, 34)",450,148,"(144, 153)"
"4","Overall","55–64","24 (23, 25)",456,109,"(105, 114)","29 (28, 30)",770,223,"(216, 231)","36 (35, 37)",860,310,"(301, 318)"
"5","Overall","65–74","23 (21, 24)",367,84,"(77, 88)","32 (31, 33)",588,188,"(182, 194)","37 (36, 39)",923,342,"(332, 360)"
"6","Overall","75–84","23 (21, 24)",289,66,"(61, 69)","31 (30, 32)",372,115,"(112, 119)","38 (37, 39)",462,176,"(171, 180)"
"7","Overall","85+","18 (17, 19)",75,14,"(13, 14)","23 (22, 25)",122,28,"(27, 30)","36 (35, 38)",142,51,"(50, 54)"
"8","Serous","25–34","5 (2, 7)",0,0,"(0, 0)","8 (5, 11)",0,0,"(0, 0)","15 (13, 18)",0,0,"(0, 0)"
"9","Serous","35–44","7 (4, 11)",2,0,"(0, 0)","13 (9, 17)",0,0,"(0, 0)","17 (14, 21)",1,0,"(0, 0)"
"10","Serous","45–54","10 (5, 14)",11,1,"(1, 2)","14 (10, 18)",9,1,"(1, 2)","22 (17, 26)",8,2,"(1, 2)"
"11","Serous","55–64","13 (8, 18)",23,3,"(2, 4)","18 (13, 22)",40,7,"(5, 9)","24 (19, 28)",60,14,"(11, 17)"
"12","Serous","65–74","12 (6, 17)",23,3,"(1, 4)","20 (14, 25)",51,10,"(7, 13)","25 (21, 30)",106,26,"(22, 32)"
"13","Serous","75–84","12 (6, 17)",24,3,"(1, 4)","19 (13, 24)",30,6,"(4, 7)","26 (22, 31)",67,17,"(15, 21)"
"14","Serous","85+","9 (4, 14)",3,0,"(0, 0)","12 (7, 18)",5,1,"(0, 1)","24 (19, 29)",24,6,"(5, 7)"
"15","Clear cell","25–34","9 (4, 13)",0,0,"(0, 0)","14 (9, 19)",1,0,"(0, 0)","25 (21, 29)",1,0,"(0, 0)"
"16","Clear cell","35–44","13 (8, 19)",0,0,"(0, 0)","22 (17, 27)",0,0,"(0, 0)","28 (23, 33)",0,0,"(0, 0)"
"17","Clear cell","45–54","17 (10, 23)",2,0,"(0, 0)","24 (17, 30)",2,0,"(0, 1)","34 (28, 39)",7,2,"(2, 3)"
"18","Clear cell","55–64","23 (15, 30)",9,2,"(1, 3)","29 (22, 35)",8,2,"(2, 3)","37 (30, 42)",9,3,"(3, 4)"
"19","Clear cell","65–74","21 (13, 29)",10,2,"(1, 3)","32 (24, 39)",8,3,"(2, 3)","39 (33, 44)",24,9,"(8, 11)"
"20","Clear cell","75–84","21 (13, 29)",6,1,"(1, 2)","31 (23, 38)",5,2,"(1, 2)","40 (34, 45)",16,6,"(5, 7)"
"21","Clear cell","85+","16 (9, 23)",1,0,"(0, 0)","22 (13, 29)",4,1,"(1, 1)","37 (30, 43)",6,2,"(2, 3)"
