"","Age","corrected","Year","rate"
"1","25–34","rate",2001,0.140195889407454
"2","25–34","rate",2002,0
"3","25–34","rate",2003,0
"4","25–34","rate",2004,0.0703935597348928
"5","25–34","rate",2005,0.0707526484690498
"6","25–34","rate",2006,0
"7","25–34","rate",2007,0.070144140163013
"8","25–34","rate",2008,0.0686368846188646
"9","25–34","rate",2009,0.133325607674336
"10","25–34","rate",2010,0
"11","25–34","rate",2011,0.19079304721288
"12","25–34","rate",2012,0
"13","25–34","rate",2013,0.179929781682979
"14","25–34","rate",2014,0.0584372816332095
"15","25–34","rate",2015,0.170980423726331
"16","25–34","rate",2016,0
"17","25–34","rate",2017,0.109020257858682
"18","25–34","rate",2018,0.0537679723439832
"19","25–34","rate",2019,0.0530896503658013
"20","25–34","rate",2020,0
"21","25–34","rate",2021,0
"22","25–34","rate",2022,0.107523081415391
"23","25–34","rate_nc",2001,0.139405852257678
"24","25–34","rate_nc",2002,0
"25","25–34","rate_nc",2003,0
"26","25–34","rate_nc",2004,0.0699816018368771
"27","25–34","rate_nc",2005,0.0700598521316761
"28","25–34","rate_nc",2006,0
"29","25–34","rate_nc",2007,0.0694775427738492
"30","25–34","rate_nc",2008,0.0679948786257419
"31","25–34","rate_nc",2009,0.132094899617783
"32","25–34","rate_nc",2010,0
"33","25–34","rate_nc",2011,0.189389635084051
"34","25–34","rate_nc",2012,0
"35","25–34","rate_nc",2013,0.178597474036392
"36","25–34","rate_nc",2014,0.0580025544324972
"37","25–34","rate_nc",2015,0.169703990985324
"38","25–34","rate_nc",2016,0
"39","25–34","rate_nc",2017,0.108420476291152
"40","25–34","rate_nc",2018,0.0534717610282833
"41","25–34","rate_nc",2019,0.0527967494097323
"42","25–34","rate_nc",2020,0
"43","25–34","rate_nc",2021,0
"44","25–34","rate_nc",2022,0.106918652546989
"45","35–44","rate",2001,0.650292147576797
"46","35–44","rate",2002,0.359780059887003
"47","35–44","rate",2003,0.430872289057121
"48","35–44","rate",2004,0.357906501281546
"49","35–44","rate",2005,0.489410438068329
"50","35–44","rate",2006,0.484732343180506
"51","35–44","rate",2007,0.27368530195017
"52","35–44","rate",2008,0.542078660794192
"53","35–44","rate",2009,0.335768754904527
"54","35–44","rate",2010,0.200083857158713
"55","35–44","rate",2011,0.468264225618994
"56","35–44","rate",2012,0.397970105719366
"57","35–44","rate",2013,0.527551033559257
"58","35–44","rate",2014,0.59237060075924
"59","35–44","rate",2015,0.131280643716572
"60","35–44","rate",2016,0.45892099685791
"61","35–44","rate",2017,0.454055088612438
"62","35–44","rate",2018,0.573513602524891
"63","35–44","rate",2019,0.561552870188377
"64","35–44","rate",2020,0.548216514077361
"65","35–44","rate",2021,0.478651767398676
"66","35–44","rate",2022,0.292663018206173
"67","35–44","rate_nc",2001,0.60549058865795
"68","35–44","rate_nc",2002,0.334849756262862
"69","35–44","rate_nc",2003,0.400893457886476
"70","35–44","rate_nc",2004,0.332974386944208
"71","35–44","rate_nc",2005,0.464219918217714
"72","35–44","rate_nc",2006,0.459813906743171
"73","35–44","rate_nc",2007,0.259635562542637
"74","35–44","rate_nc",2008,0.514277963382123
"75","35–44","rate_nc",2009,0.318548032583641
"76","35–44","rate_nc",2010,0.189814911479816
"77","35–44","rate_nc",2011,0.439642708651289
"78","35–44","rate_nc",2012,0.373441116738315
"79","35–44","rate_nc",2013,0.494908015159032
"80","35–44","rate_nc",2014,0.555714036966098
"81","35–44","rate_nc",2015,0.123182822401782
"82","35–44","rate_nc",2016,0.430840816627994
"83","35–44","rate_nc",2017,0.42653589482356
"84","35–44","rate_nc",2018,0.539046426870865
"85","35–44","rate_nc",2019,0.527995184683916
"86","35–44","rate_nc",2020,0.515546298635349
"87","35–44","rate_nc",2021,0.450078426165759
"88","35–44","rate_nc",2022,0.275148883060624
"89","45–54","rate",2001,2.75395259265288
"90","45–54","rate",2002,3.20327320254083
"91","45–54","rate",2003,2.78478181345883
"92","45–54","rate",2004,2.46568438549474
"93","45–54","rate",2005,2.68606884085974
"94","45–54","rate",2006,2.12698457365089
"95","45–54","rate",2007,1.6670011504475
"96","45–54","rate",2008,1.39118071135472
"97","45–54","rate",2009,2.73745480570306
"98","45–54","rate",2010,1.51428731174497
"99","45–54","rate",2011,1.17265933502851
"100","45–54","rate",2012,2.87163509919207
"101","45–54","rate",2013,1.92531003687241
"102","45–54","rate",2014,2.28811255541725
"103","45–54","rate",2015,2.04181633501799
"104","45–54","rate",2016,2.53695875464241
"105","45–54","rate",2017,2.0668673348301
"106","45–54","rate",2018,2.27626136040283
"107","45–54","rate",2019,2.63336447050305
"108","45–54","rate",2020,2.46941929790187
"109","45–54","rate",2021,2.61359086620036
"110","45–54","rate",2022,3.17888554397963
"111","45–54","rate_nc",2001,2.19166818445986
"112","45–54","rate_nc",2002,2.54999298751928
"113","45–54","rate_nc",2003,2.21722279541537
"114","45–54","rate_nc",2004,1.96347071810669
"115","45–54","rate_nc",2005,2.21724097976303
"116","45–54","rate_nc",2006,1.75584855595503
"117","45–54","rate_nc",2007,1.37616698960719
"118","45–54","rate_nc",2008,1.14843215366833
"119","45–54","rate_nc",2009,2.25919625770785
"120","45–54","rate_nc",2010,1.24912396963708
"121","45–54","rate_nc",2011,0.979031750652361
"122","45–54","rate_nc",2012,2.396661774022
"123","45–54","rate_nc",2013,1.60645563837013
"124","45–54","rate_nc",2014,1.90913776974526
"125","45–54","rate_nc",2015,1.70405166684654
"126","45–54","rate_nc",2016,2.11844605750958
"127","45–54","rate_nc",2017,1.72669394843105
"128","45–54","rate_nc",2018,1.90209954975463
"129","45–54","rate_nc",2019,2.200366605525
"130","45–54","rate_nc",2020,2.06278886627911
"131","45–54","rate_nc",2021,2.18168595842676
"132","45–54","rate_nc",2022,2.65190759548525
"133","55–64","rate",2001,7.26840920092525
"134","55–64","rate",2002,9.07618583881094
"135","55–64","rate",2003,7.77109895659427
"136","55–64","rate",2004,6.74766793130789
"137","55–64","rate",2005,8.3267121400074
"138","55–64","rate",2006,7.50158073506659
"139","55–64","rate",2007,7.7748929642148
"140","55–64","rate",2008,8.13674054739511
"141","55–64","rate",2009,8.17442247624663
"142","55–64","rate",2010,6.09850941110221
"143","55–64","rate",2011,7.81218198765757
"144","55–64","rate",2012,7.50276288229254
"145","55–64","rate",2013,7.85204417414541
"146","55–64","rate",2014,6.90854283395417
"147","55–64","rate",2015,6.95998149079684
"148","55–64","rate",2016,8.11639754452517
"149","55–64","rate",2017,8.48436014398802
"150","55–64","rate",2018,6.71451680825834
"151","55–64","rate",2019,8.08164965134481
"152","55–64","rate",2020,7.8253609215544
"153","55–64","rate",2021,8.07868068447712
"154","55–64","rate",2022,8.91230866884359
"155","55–64","rate_nc",2001,4.90062861699805
"156","55–64","rate_nc",2002,6.11655625228053
"157","55–64","rate_nc",2003,5.23511716594919
"158","55–64","rate_nc",2004,4.54564358092261
"159","55–64","rate_nc",2005,5.66586446694897
"160","55–64","rate_nc",2006,5.10283556515247
"161","55–64","rate_nc",2007,5.28155904696432
"162","55–64","rate_nc",2008,5.52306339221533
"163","55–64","rate_nc",2009,5.5467279199444
"164","55–64","rate_nc",2010,4.13692588219944
"165","55–64","rate_nc",2011,5.89729702046828
"166","55–64","rate_nc",2012,5.6650761072353
"167","55–64","rate_nc",2013,5.92902580852399
"168","55–64","rate_nc",2014,5.21655307806021
"169","55–64","rate_nc",2015,5.2555492840934
"170","55–64","rate_nc",2016,6.12899635219045
"171","55–64","rate_nc",2017,6.40673244245308
"172","55–64","rate_nc",2018,5.06983529119106
"173","55–64","rate_nc",2019,6.10130554674993
"174","55–64","rate_nc",2020,5.90603434456324
"175","55–64","rate_nc",2021,6.09502270071753
"176","55–64","rate_nc",2022,6.72186785195603
"177","65–74","rate",2001,21.0181471602125
"178","65–74","rate",2002,18.4862528383548
"179","65–74","rate",2003,16.4082991769578
"180","65–74","rate",2004,19.4343705471132
"181","65–74","rate",2005,19.1223938400174
"182","65–74","rate",2006,17.7876757055096
"183","65–74","rate",2007,16.477246679908
"184","65–74","rate",2008,18.3933630915467
"185","65–74","rate",2009,17.3205286129404
"186","65–74","rate",2010,18.6600708414222
"187","65–74","rate",2011,15.6545685030361
"188","65–74","rate",2012,16.7040617555593
"189","65–74","rate",2013,17.4617216857167
"190","65–74","rate",2014,22.2886228922822
"191","65–74","rate",2015,19.90875325537
"192","65–74","rate",2016,21.6029831320567
"193","65–74","rate",2017,20.3223702645771
"194","65–74","rate",2018,21.4394084262923
"195","65–74","rate",2019,24.6045465315919
"196","65–74","rate",2020,20.9969128911805
"197","65–74","rate",2021,20.6934484721933
"198","65–74","rate",2022,22.4683742290515
"199","65–74","rate_nc",2001,14.1772959466225
"200","65–74","rate_nc",2002,12.467346552632
"201","65–74","rate_nc",2003,11.0637827073076
"202","65–74","rate_nc",2004,13.1021971376739
"203","65–74","rate_nc",2005,12.7842543441606
"204","65–74","rate_nc",2006,11.890190592761
"205","65–74","rate_nc",2007,11.0135752512727
"206","65–74","rate_nc",2008,12.2939929963898
"207","65–74","rate_nc",2009,11.5755463403465
"208","65–74","rate_nc",2010,12.4691632702459
"209","65–74","rate_nc",2011,11.0538557965714
"210","65–74","rate_nc",2012,11.7950378498314
"211","65–74","rate_nc",2013,12.3301285628491
"212","65–74","rate_nc",2014,15.7392758297869
"213","65–74","rate_nc",2015,14.0583786462076
"214","65–74","rate_nc",2016,15.2272069519293
"215","65–74","rate_nc",2017,14.323379952742
"216","65–74","rate_nc",2018,15.1101592101252
"217","65–74","rate_nc",2019,17.3410257216714
"218","65–74","rate_nc",2020,14.7975555419298
"219","65–74","rate_nc",2021,14.5833001290981
"220","65–74","rate_nc",2022,15.8347014725485
"221","75–84","rate",2001,21.771406772243
"222","75–84","rate",2002,29.4540606168475
"223","75–84","rate",2003,23.0675155394674
"224","75–84","rate",2004,25.670719465916
"225","75–84","rate",2005,24.301444169075
"226","75–84","rate",2006,28.7988839909137
"227","75–84","rate",2007,27.7978643010414
"228","75–84","rate",2008,27.6398911675708
"229","75–84","rate",2009,24.5335367153103
"230","75–84","rate",2010,31.0378901358439
"231","75–84","rate",2011,30.9609928847544
"232","75–84","rate",2012,31.4943736393637
"233","75–84","rate",2013,29.1583527447107
"234","75–84","rate",2014,33.6263648502619
