"","Year","Age","Count"
"1",2001,"25–34",2
"2",2001,"35–44",9
"3",2001,"45–54",29
"4",2001,"55–64",44
"5",2001,"65–74",96
"6",2001,"75–84",73
"7",2001,"85+",46
"8",2002,"25–34",0
"9",2002,"35–44",5
"10",2002,"45–54",34
"11",2002,"55–64",58
"12",2002,"65–74",85
"13",2002,"75–84",101
"14",2002,"85+",66
"15",2003,"25–34",0
"16",2003,"35–44",6
"17",2003,"45–54",30
"18",2003,"55–64",52
"19",2003,"65–74",76
"20",2003,"75–84",81
"21",2003,"85+",52
"22",2004,"25–34",1
"23",2004,"35–44",5
"24",2004,"45–54",27
"25",2004,"55–64",47
"26",2004,"65–74",91
"27",2004,"75–84",92
"28",2004,"85+",60
"29",2005,"25–34",1
"30",2005,"35–44",7
"31",2005,"45–54",31
"32",2005,"55–64",61
"33",2005,"65–74",90
"34",2005,"75–84",88
"35",2005,"85+",68
"36",2006,"25–34",0
"37",2006,"35–44",7
"38",2006,"45–54",25
"39",2006,"55–64",57
"40",2006,"65–74",85
"41",2006,"75–84",105
"42",2006,"85+",72
"43",2007,"25–34",1
"44",2007,"35–44",4
"45",2007,"45–54",20
"46",2007,"55–64",61
"47",2007,"65–74",81
"48",2007,"75–84",102
"49",2007,"85+",73
"50",2008,"25–34",1
"51",2008,"35–44",8
"52",2008,"45–54",17
"53",2008,"55–64",66
"54",2008,"65–74",93
"55",2008,"75–84",102
"56",2008,"85+",63
"57",2009,"25–34",2
"58",2009,"35–44",5
"59",2009,"45–54",34
"60",2009,"55–64",68
"61",2009,"65–74",91
"62",2009,"75–84",91
"63",2009,"85+",61
"64",2010,"25–34",0
"65",2010,"35–44",3
"66",2010,"45–54",19
"67",2010,"55–64",52
"68",2010,"65–74",102
"69",2010,"75–84",116
"70",2010,"85+",76
"71",2011,"25–34",3
"72",2011,"35–44",7
"73",2011,"45–54",15
"74",2011,"55–64",76
"75",2011,"65–74",94
"76",2011,"75–84",121
"77",2011,"85+",62
"78",2012,"25–34",0
"79",2012,"35–44",6
"80",2012,"45–54",37
"81",2012,"55–64",74
"82",2012,"65–74",106
"83",2012,"75–84",124
"84",2012,"85+",76
"85",2013,"25–34",3
"86",2013,"35–44",8
"87",2013,"45–54",25
"88",2013,"55–64",79
"89",2013,"65–74",116
"90",2013,"75–84",116
"91",2013,"85+",99
"92",2014,"25–34",1
"93",2014,"35–44",9
"94",2014,"45–54",30
"95",2014,"55–64",71
"96",2014,"65–74",154
"97",2014,"75–84",136
"98",2014,"85+",87
"99",2015,"25–34",3
"100",2015,"35–44",2
"101",2015,"45–54",27
"102",2015,"55–64",73
"103",2015,"65–74",143
"104",2015,"75–84",148
"105",2015,"85+",90
"106",2016,"25–34",0
"107",2016,"35–44",7
"108",2016,"45–54",34
"109",2016,"55–64",87
"110",2016,"65–74",161
"111",2016,"75–84",155
"112",2016,"85+",82
"113",2017,"25–34",2
"114",2017,"35–44",7
"115",2017,"45–54",28
"116",2017,"55–64",93
"117",2017,"65–74",157
"118",2017,"75–84",132
"119",2017,"85+",104
"120",2018,"25–34",1
"121",2018,"35–44",9
"122",2018,"45–54",31
"123",2018,"55–64",75
"124",2018,"65–74",172
"125",2018,"75–84",141
"126",2018,"85+",101
"127",2019,"25–34",1
"128",2019,"35–44",9
"129",2019,"45–54",36
"130",2019,"55–64",92
"131",2019,"65–74",204
"132",2019,"75–84",174
"133",2019,"85+",123
"134",2020,"25–34",0
"135",2020,"35–44",9
"136",2020,"45–54",34
"137",2020,"55–64",91
"138",2020,"65–74",181
"139",2020,"75–84",151
"140",2020,"85+",99
"141",2021,"25–34",0
"142",2021,"35–44",8
"143",2021,"45–54",36
"144",2021,"55–64",94
"145",2021,"65–74",183
"146",2021,"75–84",183
"147",2021,"85+",116
"148",2022,"25–34",2
"149",2022,"35–44",5
"150",2022,"45–54",44
"151",2022,"55–64",104
"152",2022,"65–74",201
"153",2022,"75–84",183
"154",2022,"85+",101
